2020-04-03,#genre#
09:30-09:55太空生活趣事多,http://sczy-oos.scedu.com.cn/video20200327/%E4%B8%8A/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9026B/0403%E5%B0%8F%E4%BA%8C%E8%AF%AD%E6%96%87-%E5%A4%AA%E7%A9%BA%E7%94%9F%E6%B4%BB%E8%B6%A3%E4%BA%8B%E5%A4%9A.mp4
9:55-10:35眼保健操（七步操）,http://sczy-oos.scedu.com.cn/video20200312/%E5%85%B6%E4%BB%96%E7%B4%A0%E6%9D%90/%E7%9C%BC%E4%BF%9D%E5%81%A5%E6%93%8D%EF%BC%88%E4%B8%83%E6%AD%A5%E6%93%8D%EF%BC%89.mp4
课间操,http://hknm5s6gzvm5a6wju24.exp.bcevod.com/mda-kb9qfdh6b0bs6231/mda-kb9qfdh6b0bs6231.m3u8
10:35-11:00一分有多长,http://sczy-oos.scedu.com.cn/video20200322/22%E4%B8%8A/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9021A/0403%E5%B0%8F%E4%BA%8C%E6%95%B0%E5%AD%A6-%E4%B8%80%E5%88%86%E6%9C%89%E5%A4%9A%E9%95%BF.mp4
11:15-11:40思维真奇妙-奇思妙想欢乐多  张芃,http://sczy-oos.scedu.com.cn/video20200215/BaiduNetdiskDownload/20200215/%E5%A4%8D%E4%B9%A0%E8%AF%BE%E5%A2%9E%E5%8A%A0/2%E3%80%8A%E7%94%9F%E5%91%BD%E7%94%9F%E6%80%81%E5%AE%89%E5%85%A8%E3%80%8B%E4%BA%8C%E5%B9%B4%E7%BA%A7%E4%B8%8A%20%20%28%E5%A4%8D%E4%B9%A0%EF%BC%89%5F%20%E6%80%9D%E7%BB%B4%E7%9C%9F%E5%A5%87%E5%A6%99-%E5%A5%87%E6%80%9D%E5%A6%99%E6%83%B3%E6%AC%A2%E4%B9%90%E5%A4%9A/2%E3%80%8A%E7%94%9F%E5%91%BD%E7%94%9F%E6%80%81%E5%AE%89%E5%85%A8%E3%80%8B%E4%BA%8C%E5%B9%B4%E7%BA%A7%E4%B8%8A%20%20%28%E5%A4%8D%E4%B9%A0%EF%BC%89%5F%20%E6%80%9D%E7%BB%B4%E7%9C%9F%E5%A5%87%E5%A6%99-%E5%A5%87%E6%80%9D%E5%A6%99%E6%83%B3%E6%AC%A2%E4%B9%90%E5%A4%9A%20%20%E5%BC%A0%E8%8A%83.mp4
2020-04-02,#genre#
09:30-09:55找规律解决问题,http://sczy-oos.scedu.com.cn/video20200322/22%E4%B8%8A/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9021A/0402%E5%B0%8F%E4%BA%8C%E6%95%B0%E5%AD%A6-%E6%89%BE%E8%A7%84%E5%BE%8B%E8%A7%A3%E5%86%B3%E9%97%AE%E9%A2%98.mp4
9:55-10:35眼保健操（七步操）,http://sczy-oos.scedu.com.cn/video20200312/%E5%85%B6%E4%BB%96%E7%B4%A0%E6%9D%90/%E7%9C%BC%E4%BF%9D%E5%81%A5%E6%93%8D%EF%BC%88%E4%B8%83%E6%AD%A5%E6%93%8D%EF%BC%89.mp4
课间操,http://hknm5s6gzvm5a6wju24.exp.bcevod.com/mda-kb9qfdh6b0bs6231/mda-kb9qfdh6b0bs6231.m3u8
10:35-11:00要是你在野外迷了路,http://sczy-oos.scedu.com.cn/video20200326/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9026A%28%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89/0402%E5%B0%8F%E4%BA%8C%E8%AF%AD%E6%96%87-%E8%A6%81%E6%98%AF%E4%BD%A0%E5%9C%A8%E9%87%8E%E5%A4%96%E8%BF%B7%E4%BA%86%E8%B7%AF%EF%BC%88%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89.mp4
11:15-11:40观察与比较,http://sczy-oos.scedu.com.cn/video20200325/25%E4%B8%8A/1/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9024B/0402%E5%B0%8F%E4%BA%8C%E7%A7%91%E5%AD%A6-%E8%A7%82%E5%AF%9F%E4%B8%8E%E6%AF%94%E8%BE%83.MP4
2020-04-01,#genre#
09:30-09:55“重复”的奥秘,http://sczy-oos.scedu.com.cn/video20200320/%E9%94%A6%E6%B1%9F%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9020B/9/0401%E5%B0%8F%E4%BA%8C%E6%95%B0%E5%AD%A6-%E9%87%8D%E5%A4%8D%E7%9A%84%E5%A5%A5%E7%A7%98.mp4
9:55-10:35眼保健操（七步操）,http://sczy-oos.scedu.com.cn/video20200312/%E5%85%B6%E4%BB%96%E7%B4%A0%E6%9D%90/%E7%9C%BC%E4%BF%9D%E5%81%A5%E6%93%8D%EF%BC%88%E4%B8%83%E6%AD%A5%E6%93%8D%EF%BC%89.mp4
课间操,http://hknm5s6gzvm5a6wju24.exp.bcevod.com/mda-kb9qfdh6b0bs6231/mda-kb9qfdh6b0bs6231.m3u8
10:35-11:00我们爱整洁,http://sczy-oos.scedu.com.cn/video20200319/%E9%94%A6%E6%B1%9F%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9019A/6/0330%E5%B0%8F%E4%BA%8C%E9%81%93%E5%BE%B7%E4%B8%8E%E6%B3%95%E6%B2%BB-%E6%88%91%E4%BB%AC%E7%88%B1%E6%95%B4%E6%B4%81.mp4
11:15-11:40羿射九日,http://sczy-oos.scedu.com.cn/video20200326/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9026A%28%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89/0401%E5%B0%8F%E4%BA%8C%E8%AF%AD%E6%96%87-%E7%BE%BF%E5%B0%84%E4%B9%9D%E6%97%A5%EF%BC%88%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89.mp4
2020-03-31,#genre#
09:30-09:55祖先的摇篮,http://sczy-oos.scedu.com.cn/video20200324/24%E4%B8%8A/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9023A/0331%E5%B0%8F%E4%BA%8C%E8%AF%AD%E6%96%87-%E7%A5%96%E5%85%88%E7%9A%84%E6%91%87%E7%AF%AE.mp4
9:55-10:35眼保健操（七步操）,http://sczy-oos.scedu.com.cn/video20200312/%E5%85%B6%E4%BB%96%E7%B4%A0%E6%9D%90/%E7%9C%BC%E4%BF%9D%E5%81%A5%E6%93%8D%EF%BC%88%E4%B8%83%E6%AD%A5%E6%93%8D%EF%BC%89.mp4
课间操,http://hknm5s6gzvm5a6wju24.exp.bcevod.com/mda-kb9qfdh6b0bs6231/mda-kb9qfdh6b0bs6231.m3u8
10:35-11:00排列,http://sczy-oos.scedu.com.cn/video20200320/%E9%94%A6%E6%B1%9F%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9020B/8/0331%E5%B0%8F%E4%BA%8C%E6%95%B0%E5%AD%A6-%E6%8E%92%E5%88%97.mp4
11:15-11:40空气大炮,http://sczy-oos.scedu.com.cn/video20200325/25%E4%B8%8A/1/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9024B/0331%E5%B0%8F%E4%BA%8C%E7%A7%91%E5%AD%A6-%E7%A9%BA%E6%B0%94%E5%A4%A7%E7%82%AE.mp4
2020-03-30,#genre#
09:30-09:55有趣的图像诗,http://sczy-oos.scedu.com.cn/video20200326/%E8%B5%B5%E8%8E%89%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9026A%28%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89/0330%E5%B0%8F%E4%BA%8C%E8%AF%AD%E6%96%87-%E6%9C%89%E8%B6%A3%E7%9A%84%E5%9B%BE%E5%83%8F%E8%AF%97%EF%BC%88%E8%A7%86%E9%A2%91%E6%9B%BF%E6%8D%A2%EF%BC%89.mp4
9:55-10:35眼保健操（七步操）,http://sczy-oos.scedu.com.cn/video20200312/%E5%85%B6%E4%BB%96%E7%B4%A0%E6%9D%90/%E7%9C%BC%E4%BF%9D%E5%81%A5%E6%93%8D%EF%BC%88%E4%B8%83%E6%AD%A5%E6%93%8D%EF%BC%89.mp4
课间操,http://hknm5s6gzvm5a6wju24.exp.bcevod.com/mda-kb9qfdh6b0bs6231/mda-kb9qfdh6b0bs6231.m3u8
10:35-11:00我们爱整洁,http://sczy-oos.scedu.com.cn/video20200319/%E9%94%A6%E6%B1%9F%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9019A/6/0330%E5%B0%8F%E4%BA%8C%E9%81%93%E5%BE%B7%E4%B8%8E%E6%B3%95%E6%B2%BB-%E6%88%91%E4%BB%AC%E7%88%B1%E6%95%B4%E6%B4%81.mp4
11:15-11:40估一估,http://sczy-oos.scedu.com.cn/video20200320/%E9%94%A6%E6%B1%9F%E6%96%B0%E8%AF%BE%E8%B5%84%E6%BA%9020B/8/0330%E5%B0%8F%E4%BA%8C%E6%95%B0%E5%AD%A6-%E4%BC%B0%E4%B8%80%E4%BC%B0.mp4
儿童家学,#genre#
小马过河第二课时,https://om.tc.qq.com/b0940cgc3lv.mp4?vkey=B7DA4B746927409375C1AB333D2D2AFB1D6B224E828DC98DB4D98A16B9A0019AB672722DE09C1405E6E82CE42E094B6F8C1B962059E984F94104A663DB8238A26E1C21F881E1D0C455B89998FCA85C6E3F30564007A83F164D3BCB2FD5B3A49A2713B8EB4625EA6FA4AC889195051855
二年级,#genre#
作业帮,http://tx-liveplay.zuoyebang.com:80/live/comeon_2.m3u8
作业帮,http://lsshls.zybang.com:80/zybang/comeon_2.m3u8
学而思,http://aldirect.rtmp.huya.com/huyalive/1099531752602-1099531752602-86435469507690496-2199063628660-10057-A-0-1.m3u8
新东方,http://aldirect.rtmp.huya.com/huyalive/1099531752590-1099531752590-86435417968082944-2199063628636-10057-A-0-1.m3u8
企鹅,https://live-edu.wasu.tv/live/QiEFuDao-lv2.m3u8
上海空中课堂,http://liveplay-kk.rtxapp.com/live/program/live/kkernj/1300000/mnf.m3u8
四川空中课堂,http://sk.live.otvcloud.com/otv/skcc/live/channel51019/index.m3u8?k=84c5e4fb30de8008a0fb60a9aa128778&t=5E841909&UID=D0C2CD39
读书郎,#genre#
《村居》《咏柳》,https://play.dteacher.readboy.com:443/o_1dur2scb03qm124m17fjd03131g49.m3u8
《找春天》,https://play.dteacher.readboy.com:443/records/01201912021007270274/2020-01-19-14-30-02_2020-01-19-15-35-32.m3u8
《开满鲜花的小路》,https://play.dteacher.readboy.com:443/o_1dv40a2vj170vom615241ojt16p3d.mp4
《邓小平爷爷植树》,https://play.dteacher.readboy.com:443/o_1e0l4c5ib1595tol18f9l0316e8d.m3u8
《五彩的生活》,https://play.dteacher.readboy.com:443/o_1e0m8psnm1ocgrgh1n7mco21l1ud.m3u8
《如何写日记》,https://play.dteacher.readboy.com:443/o_1e0reatvf8o31v7b1b7u1kr3736d.m3u8
《向雷锋同志学习》,https://play.dteacher.readboy.com:443/records/01201912021007270300/2020-02-07-14-30-12_2020-02-07-15-39-21.m3u8
《千人糕》,https://play.dteacher.readboy.com:443/records/01201912021007270305/2020-02-09-14-36-41_2020-02-09-15-44-18.m3u8
《一匹出色的马》,https://play.dteacher.readboy.com:443/o_1e1e71mvr1v1mp1sqk31e3opc68.mp4
《二单元综合复习》,https://play.dteacher.readboy.com:443/records/01201912021007270315/2020-02-13-14-29-35_2020-02-13-15-34-53.m3u8
《神州谣》《传统节日》,https://play.dteacher.readboy.com/records/01201912021011592460/2020-02-22-14-29-49_2020-02-22-15-38-37.m3u8
《“贝”的故事》《中国美食》,https://play.dteacher.readboy.com/o_1e2coqp0uns01hihqf8ro11vb1293.m3u8
《彩色的梦》,https://play.dteacher.readboy.com/records/01201912021011592470/2020-03-07-14-30-28_2020-03-07-15-43-13.m3u8
教育频道,#genre#
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
央视频道,#genre#
CCTV1,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV2,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV3,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV4,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV5,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV5+,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV6,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV7,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV8,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV9,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV10,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV11,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV12,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV13,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV1,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV2,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV10,http://112.50.243.8/PLTV/88888888/224/3221225931/1.m3u8
CCTV12,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
